"id","filename","property","value","language","translation","translation_language","detected_input_lang","detected_output_lang","is_successed","score","is_approved","is_verified","verified_at","notes","translation_time","input_size","output_size","size_difference","created_at","updated_at","is_duplicated","duplication_count"
1,about.json,hero.badge,About Us,English,نبذة عنا,Arabic,en,ar,true,,true,true,2026-04-28 10:57:32.476 +0100,"",1.7158279061317443,8,8,0.0,2026-04-28 10:57:21.119 +0100,2026-04-28 10:57:32.476 +0100,false,1
2,about.json,hero.title,Reinventing Restaurant Service,English,نحن نُعيد تعريف خدمات المطاعم,Arabic,en,ar,true,,true,true,2026-04-28 10:57:37.285 +0100,"",1.7158279061317443,30,29,0.03333333333333333,2026-04-28 10:57:26.323 +0100,2026-04-28 10:57:37.285 +0100,false,1
3,about.json,hero.title_gradient,From the Inside Out,English,من الداخل إلى الخارج,Arabic,en,ar,true,,true,true,2026-04-28 10:57:41.926 +0100,"",1.7158279061317443,19,20,0.05263157894736842,2026-04-28 10:57:26.323 +0100,2026-04-28 10:57:41.926 +0100,false,1
4,about.json,hero.description,"Osoul was built with one belief: great hospitality should feel effortless — for guests, staff, and operators alike.",English,تم تصميم Osoul انطلاقًا من مبدأ أساسي: يجب أن تكون تجربة الضيافة الرائعة أمرًا يسيرًا - للضيوف، والموظفين، والإدارة على حد سواء.,Arabic,en,ar,true,,true,true,2026-04-28 10:57:47.319 +0100,"",1.7158279061317443,115,128,0.11304347826086956,2026-04-28 10:57:26.323 +0100,2026-04-28 10:57:47.319 +0100,false,1
5,about.json,hero.cta_primary,Start Free Trial →,English,ابدأ تجربتك المجانية ←,Arabic,en,ar,true,,true,true,2026-04-28 10:57:51.960 +0100,"",1.7158279061317443,18,22,0.2222222222222222,2026-04-28 10:57:26.323 +0100,2026-04-28 10:57:51.960 +0100,false,1
6,about.json,hero.cta_secondary,See the Platform,English,اطلع على المنصة,Arabic,en,ar,true,,true,true,2026-04-28 10:57:56.589 +0100,"",1.7158279061317443,16,15,0.0625,2026-04-28 10:57:26.323 +0100,2026-04-28 10:57:56.589 +0100,false,1
7,about.json,hero.trust_line,Built for real restaurants · Designed for real service,English,مصممة خصيصًا للمطاعم الحقيقية، لخدمة حقيقية.,Arabic,en,ar,true,,true,true,2026-04-28 10:58:01.659 +0100,"",1.7158279061317443,54,44,0.18518518518518517,2026-04-28 10:57:26.323 +0100,2026-04-28 10:58:01.659 +0100,false,1
8,about.json,story.badge,Our Story,English,قصتنا,Arabic,en,ar,true,,true,true,2026-04-28 10:58:06.278 +0100,"",1.7158279061317443,9,5,0.4444444444444444,2026-04-28 10:57:26.323 +0100,2026-04-28 10:58:06.278 +0100,false,1
9,about.json,story.title,Born from Real Service Challenges,English,انطلقت فكرتنا من تحديات واقعية في مجال الخدمة,Arabic,en,ar,true,,true,true,2026-04-28 10:58:11.078 +0100,"",1.7158279061317443,33,45,0.36363636363636365,2026-04-28 10:57:26.323 +0100,2026-04-28 10:58:11.078 +0100,false,1
10,about.json,story.description,"We’ve experienced the chaos of restaurant operations firsthand — missed orders, overwhelmed staff, long wait times, and disconnected tools.",English,لقد عايشنا عن كثب الفوضى التي قد تحدث في عمليات المطاعم: طلبات مفقودة، وإرهاق الموظفين، وفترات انتظار طويلة، وأنظمة غير متكاملة.,Arabic,en,ar,true,,true,true,2026-04-28 10:58:16.508 +0100,"",1.7158279061317443,139,128,0.07913669064748201,2026-04-28 10:57:26.323 +0100,2026-04-28 10:58:16.508 +0100,false,1
